= World Cup 2026     # 48 Teams


== Czech Republic     # 26 Players
   4, Mohamed Amine TOUGAI             DF,  b. 2000/01/22
   5, Zineddine BELAÏD                 DF,  b. 1999/03/20
  13, Jaouen HADJAM                    DF,  b. 2003/03/26
  15, Rayan AÏT-NOURI                  DF,  b. 2001/06/06
  17, Rafik BELGHALI                   DF,  b. 2002/06/07
  21, Ramy BENSEBAINI                  DF,  b. 1995/04/16
  26, Samir CHERGUI                    DF,  b. 1999/02/06

   6, Ramiz ZERROUKI                   MF,  b. 1998/05/26
   8, Houssem AOUAR                    MF,  b. 1998/06/30
  10, Farès CHAÏBI                     MF,  b. 2002/11/28
  14, Hicham BOUDAOUI                  MF,  b. 1999/09/23
  19, Nabil BENTALEB                   MF,  b. 1994/11/24
  22, Ibrahim MAZA                     MF,  b. 2005/11/24
  24, Yacine TITRAOUI                  MF,  b. 2003/08/26

   7, Riyad MAHREZ                     FW,  b. 1991/02/21
   9, Amine GOUIRI                     FW,  b. 2000/02/16
  11, Anis HADJ MOUSSA                 FW,  b. 2002/02/11
  12, Nadhir BENBOUALI                 FW,  b. 2000/04/17
  18, Mohamed AMOURA                   FW,  b. 2000/05/09
  20, Adil BOULBINA                    FW,  b. 2003/05/02
  25, Farès GHEDJEMIS                  FW,  b. 2002/09/06


== Argentina     # 25 Players

   1, Juan MUSSO                       GK,  b. 1994/05/06
  12, Gerónimo RULLI                   GK,  b. 1992/05/20
  23, Emiliano MARTÍNEZ                GK,  b. 1992/09/02

   3, Nicolás TAGLIAFICO               DF,  b. 1992/08/31
   4, Gonzalo MONTIEL                  DF,  b. 1997/01/01
   6, Lisandro MARTÍNEZ                DF,  b. 1998/01/18
  13, Cristian ROMERO                  DF,  b. 1998/04/27
  19, Nicolás OTAMENDI                 DF,  b. 1988/02/12
  25, Facundo MEDINA                   DF,  b. 1999/05/28
  26, Nahuel MOLINA                    DF,  b. 1998/04/06

   5, Leandro PAREDES                  MF,  b. 1994/06/29
   7, Rodrigo DE PAUL                  MF,  b. 1994/05/24
   8, Valentín BARCO                   MF,  b. 2004/07/23
  11, Giovani LO CELSO                 MF,  b. 1996/04/09
  14, Exequiel PALACIOS                MF,  b. 1998/10/05
  15, Nicolás GONZÁLEZ                 MF,  b. 1998/04/06
  20, Alexis MAC ALLISTER              MF,  b. 1998/12/24
  24, Enzo FERNÁNDEZ                   MF,  b. 2001/01/17

   9, Julián ALVAREZ                   FW,  b. 2000/01/31
  10, Lionel MESSI                     FW,  b. 1987/06/24
  16, Thiago ALMADA                    FW,  b. 2001/04/26
  17, Giuliano SIMEONE                 FW,  b. 2002/12/18
  18, Nico PAZ                         FW,  b. 2004/09/08
  21, José Manuel LÓPEZ                FW,  b. 2000/12/06
  22, Lautaro MARTÍNEZ                 FW,  b. 1997/08/22


== Austria     # 25 Players

   1, Alexander SCHLAGER               GK,  b. 1996/02/01
  12, Florian WIEGELE                  GK,  b. 2001/03/21
  13, Patrick PENTZ                    GK,  b. 1997/01/02

   2, David AFFENGRUBER                DF,  b. 2001/03/19
   3, Kevin DANSO                      DF,  b. 1998/09/19
   5, Stefan POSCH                     DF,  b. 1997/05/14
   8, David ALABA                      DF,  b. 1992/06/24
  15, Philipp LIENHART                 DF,  b. 1996/07/11
  16, Phillipp MWENE                   DF,  b. 1994/01/29
  23, Marco FRIEDL                     DF,  b. 1998/03/16
  25, Michael SVOBODA                  DF,  b. 1998/10/15

   4, Xaver SCHLAGER                   MF,  b. 1997/09/28
   6, Nicolas SEIWALD                  MF,  b. 2001/05/04
   9, Marcel SABITZER                  MF,  b. 1994/03/17
  10, Florian GRILLITSCH               MF,  b. 1995/08/07
  17, Carney CHUKWUEMEKA               MF,  b. 2003/10/20
  18, Romano SCHMID                    MF,  b. 2000/01/27
  20, Konrad LAIMER                    MF,  b. 1997/05/27
  22, Alexander PRASS                  MF,  b. 2001/05/26
  24, Paul WANNER                      MF,  b. 2005/12/23
  26, Alessandro SCHÖPF                MF,  b. 1994/02/07

   7, Marko ARNAUTOVIĆ                 FW,  b. 1989/04/19
  11, Michael GREGORITSCH              FW,  b. 1994/04/18
  14, Saša KALAJDŽIĆ                   FW,  b. 1997/07/07
  21, Patrick WIMMER                   FW,  b. 2001/05/30


== Jordan     # 25 Players

   1, Yazeed ABULAILA                  GK,  b. 1993/01/08
  12, Nour BANI ATTIAH                 GK,  b. 1993/01/25
  22, Abdallah AL-FAKHOURI             GK,  b. 2000/01/22

   2, Mohammad ABU HASHISH             DF,  b. 1995/05/09
   3, Abdallah NASIB                   DF,  b. 1994/02/25
   4, Husam ABU DAHAB                  DF,  b. 2000/05/13
   5, Yazan AL-ARAB                    DF,  b. 1996/01/31
  16, Mo ABUALNADI                     DF,  b. 2001/02/08
  17, Salim OBAID                      DF,  b. 1992/01/17
  19, Saed AL-ROSAN                    DF,  b. 1997/02/01
  23, Ihsan HADDAD                     DF,  b. 1994/02/05
  26, Anas BADAWI                      DF,  b. 1997/09/13

   6, Amer JAMOUS                      MF,  b. 2002/07/03
   8, Noor AL-RAWABDEH                 MF,  b. 1997/02/24
  14, Rajaei AYED                      MF,  b. 1993/07/25
  15, Ibrahim SADEH                    MF,  b. 2000/04/27
  20, Mohannad ABU TAHA                MF,  b. 2003/02/02
  21, Nizar AL-RASHDAN                 MF,  b. 1999/03/23
  25, Mohammad AL-DAWOUD               MF,  b. 1992/04/12

   7, Mohammad ABU ZRAYQ               FW,  b. 1997/12/30
   9, Ali OLWAN                        FW,  b. 2000/03/26
  10, Musa AL-TAAMARI                  FW,  b. 1997/06/10
  11, Odeh AL-FAKHOURI                 FW,  b. 2005/11/22
  13, Mahmoud AL-MARDI                 FW,  b. 1993/10/06
  24, Ali AZAIZEH                      FW,  b. 2004/04/13


== Colombia     # 26 Players

   1, David OSPINA                     GK,  b. 1988/08/31
  12, Camilo VARGAS                    GK,  b. 1989/03/09
  24, Álvaro MONTERO                   GK,  b. 1995/03/29

   2, Daniel MUÑOZ                     DF,  b. 1996/05/26
   3, Jhon LUCUMÍ                      DF,  b. 1998/06/26
   4, Santiago ARIAS                   DF,  b. 1992/01/13
  13, Yerry MINA                       DF,  b. 1994/09/23
  14, Gustavo PUERTA                   DF,  b. 2003/07/23
  17, Johan MOJICA                     DF,  b. 1992/08/21
  18, Willer DITTA                     DF,  b. 1998/01/23
  22, Deiver MACHADO                   DF,  b. 1993/09/02
  23, Davinson SÁNCHEZ                 DF,  b. 1996/06/12

   5, Kevin CASTAÑO                    MF,  b. 2000/09/29
   6, Richard RÍOS                     MF,  b. 2000/06/02
   8, Jorge CARRASCAL                  MF,  b. 1998/05/25
  10, James RODRÍGUEZ                  MF,  b. 1991/07/12
  11, Jhon ARIAS                       MF,  b. 1997/09/21
  15, Juan PORTILLA                    MF,  b. 1998/09/12
  16, Jefferson LERMA                  MF,  b. 1994/10/25
  20, Juan Fernando QUINTERO           MF,  b. 1993/01/18

   7, Luis DÍAZ                        FW,  b. 1997/01/13
   9, Jhon CÓRDOBA                     FW,  b. 1993/05/11
  19, Cucho HERNÁNDEZ                  FW,  b. 1999/04/20
  21, Jaminton CAMPAZ                  FW,  b. 2000/05/24
  25, Luis SUÁREZ                      FW,  b. 1997/12/02
  26, Andrés GÓMEZ                     FW,  b. 2002/09/12


== DR Congo     # 26 Players

   1, Lionel MPASI                     GK,  b. 1994/08/01
  16, Timothy FAYULU                   GK,  b. 1999/07/24
  21, Matthieu EPOLO                   GK,  b. 2005/01/15

   2, Aaron WAN-BISSAKA                DF,  b. 1997/11/26
   3, Steve KAPUADI                    DF,  b. 1998/04/30
   4, Axel TUANZEBE                    DF,  b. 1997/11/14
   5, Dylan BATUBINSIKA                DF,  b. 1996/02/15
  12, Joris KAYEMBE                    DF,  b. 1994/08/08
  22, Chancel MBEMBA                   DF,  b. 1994/08/08
  24, Gédéon KALULU                    DF,  b. 1997/08/29
  26, Arthur MASUAKU                   DF,  b. 1993/11/07

   6, Ngal'ayel MUKAU                  MF,  b. 2004/11/03
   7, Nathanaël MBUKU                  MF,  b. 2002/03/16
   8, Samuel MOUTOUSSAMY               MF,  b. 1996/08/12
  10, Théo BONGONDA                    MF,  b. 1995/11/20
  14, Noah SADIKI                      MF,  b. 2004/12/17
  15, Aaron TSHIBOLA                   MF,  b. 1995/01/02
  18, Charles PICKEL                   MF,  b. 1997/05/15
  25, Edo KAYEMBE                      MF,  b. 1998/06/03

   9, Brian CIPENGA                    FW,  b. 1998/03/11
  11, Gaël KAKUTA                      FW,  b. 1991/06/21
  13, Meschak ELIA                     FW,  b. 1997/08/06
  17, Cédric BAKAMBU                   FW,  b. 1991/04/11
  19, Fiston MAYELE                    FW,  b. 1994/06/24
  20, Yoane WISSA                      FW,  b. 1996/09/03
  23, Simon BANZA                      FW,  b. 1996/08/13


== Portugal     # 26 Players

   1, Diogo COSTA                      GK,  b. 1999/09/19
  12, José SÁ                          GK,  b. 1993/01/17
  22, Rui SILVA                        GK,  b. 1994/02/07

   2, Nélson SEMEDO                    DF,  b. 1993/11/16
   3, Rúben DIAS                       DF,  b. 1997/05/14
   4, Tomás ARAÚJO                     DF,  b. 2002/05/16
   5, Diogo DALOT                      DF,  b. 1999/03/18
  13, Renato VEIGA                     DF,  b. 2003/07/29
  14, Gonçalo INÁCIO                   DF,  b. 2001/08/25
  20, João CANCELO                     DF,  b. 1994/05/27
  24, Samú COSTA                       DF,  b. 2000/11/27
  25, Nuno MENDES                      DF,  b. 2002/06/19

   6, Matheus NUNES                    MF,  b. 1998/08/27
   8, Bruno FERNANDES                  MF,  b. 1994/09/08
  10, Bernardo SILVA                   MF,  b. 1994/08/10
  15, João NEVES                       MF,  b. 2004/09/27
  21, Rúben NEVES                      MF,  b. 1997/03/13
  23, VITINHA                          MF,  b. 2000/02/13

   7, Cristiano RONALDO                FW,  b. 1985/02/05
   9, Gonçalo RAMOS                    FW,  b. 2001/06/20
  11, João FÉLIX                       FW,  b. 1999/11/10
  16, Francisco TRINCÃO                FW,  b. 1999/12/29
  17, Rafael LEÃO                      FW,  b. 1999/06/10
  18, Pedro NETO                       FW,  b. 2000/03/09
  19, Gonçalo GUEDES                   FW,  b. 1996/11/29
  26, Francisco CONCEIÇÃO              FW,  b. 2002/12/14


== Uzbekistan     # 26 Players

   1, Utkir YUSUPOV                    GK,  b. 1991/01/04
  12, Abduvohid NEMATOV                GK,  b. 2001/03/20
  16, Botirali ERGASHEV                GK,  b. 1995/06/23

   2, Abdukodir KHUSANOV               DF,  b. 2004/02/29
   3, Khojiakbar ALIJONOV              DF,  b. 1997/04/19
   4, Farrukh SAYFIEV                  DF,  b. 1991/01/17
   5, Rustam ASHURMATOV                DF,  b. 1996/07/07
  13, Sherzod NASRULLAEV               DF,  b. 1998/07/23
  15, Umar ESHMURODOV                  DF,  b. 1992/11/30
  18, Abdulla ABDULLAEV                DF,  b. 1997/09/01
  24, Bekhruz KARIMOV                  DF,  b. 2007/08/07
  25, Avazbek ULMASALIEV               DF,  b. 2000/03/27
  26, Jakhongir UROZOV                 DF,  b. 2004/01/18

   6, Akmal MOZGOVOY                   MF,  b. 1999/04/02
   7, Otabek SHUKUROV                  MF,  b. 1996/06/22
   8, Jamshid ISKANDEROV               MF,  b. 1993/10/16
   9, Odiljon HAMROBEKOV               MF,  b. 1996/02/13
  10, Jaloliddin MASHARIPOV            MF,  b. 1993/09/01
  11, Oston URUNOV                     MF,  b. 2000/12/19
  17, Dostonbek KHAMDAMOV              MF,  b. 1996/07/24
  19, Azizjon GANIEV                   MF,  b. 1998/02/22
  22, Abbosbek FAYZULLAEV              MF,  b. 2003/10/03
  23, Sherzod ESANOV                   MF,  b. 2003/02/01

  14, Eldor SHOMURODOV                 FW,  b. 1995/06/29
  20, Azizbek AMONOV                   FW,  b. 1997/10/30
  21, Igor SERGEEV                     FW,  b. 1993/04/30


== Croatia     # 26 Players

   1, Dominik LIVAKOVIĆ                GK,  b. 1995/01/09
  12, Ivor PANDUR                      GK,  b. 2000/03/25
  23, Dominik KOTARSKI                 GK,  b. 2000/02/10

   2, Josip STANIŠIĆ                   DF,  b. 2000/04/02
   3, Marin PONGRAČIĆ                  DF,  b. 1997/09/11
   4, Joško GVARDIOL                   DF,  b. 2002/01/23
   5, Duje ĆALETA-CAR                  DF,  b. 1996/09/17
   6, Josip ŠUTALO                     DF,  b. 2000/02/28
  18, Kristijan JAKIĆ                  DF,  b. 1997/05/14
  22, Luka VUŠKOVIĆ                    DF,  b. 2007/02/24
  25, Martin ERLIĆ                     DF,  b. 1998/01/24

   7, Nikola MORO                      MF,  b. 1998/03/12
   8, Mateo KOVAČIĆ                    MF,  b. 1994/05/06
  10, Luka MODRIĆ                      MF,  b. 1985/09/09
  13, Nikola VLAŠIĆ                    MF,  b. 1997/10/04
  15, Mario PAŠALIĆ                    MF,  b. 1995/02/09
  16, Martin BATURINA                  MF,  b. 2003/02/16
  17, Petar SUČIĆ                      MF,  b. 2003/10/25
  19, Toni FRUK                        MF,  b. 2001/03/09
  21, Luka SUČIĆ                       MF,  b. 2002/09/08

   9, Andrej KRAMARIĆ                  FW,  b. 1991/06/19
  11, Ante BUDIMIR                     FW,  b. 1991/07/22
  14, Ivan PERIŠIĆ                     FW,  b. 1989/02/02
  20, Igor MATANOVIĆ                   FW,  b. 2003/03/31
  24, Marco PAŠALIĆ                    FW,  b. 2000/09/14
  26, Petar MUSA                       FW,  b. 1998/03/04


== England     # 26 Players

   1, Jordan PICKFORD                  GK,  b. 1994/03/07
  13, Dean HENDERSON                   GK,  b. 1997/03/12
  23, James TRAFFORD                   GK,  b. 2002/10/10

   2, Ezri KONSA                       DF,  b. 1997/10/23
   3, Nico O'REILLY                    DF,  b. 2005/03/21
   5, John STONES                      DF,  b. 1994/05/28
   6, Marc GUÉHI                       DF,  b. 2000/07/13
  12, Tino LIVRAMENTO                  DF,  b. 2002/11/12
  15, Dan BURN                         DF,  b. 1992/05/09
  24, Reece JAMES                      DF,  b. 1999/12/08
  25, Djed SPENCE                      DF,  b. 2000/08/09
  26, Jarell QUANSAH                   DF,  b. 2003/01/29

   4, Declan RICE                      MF,  b. 1999/01/14
   8, Elliot ANDERSON                  MF,  b. 2002/11/06
  10, Jude BELLINGHAM                  MF,  b. 2003/06/29
  14, Jordan HENDERSON                 MF,  b. 1990/06/17
  16, Kobbie MAINOO                    MF,  b. 2005/04/19
  17, Morgan ROGERS                    MF,  b. 2002/07/26
  21, Eberechi EZE                     MF,  b. 1998/06/29

   7, Bukayo SAKA                      FW,  b. 2001/09/05
   9, Harry KANE                       FW,  b. 1993/07/28
  11, Marcus RASHFORD                  FW,  b. 1997/10/31
  18, Anthony GORDON                   FW,  b. 2001/02/24
  19, Ollie WATKINS                    FW,  b. 1995/12/30
  20, Noni MADUEKE                     FW,  b. 2002/03/10
  22, Ivan TONEY                       FW,  b. 1996/03/16


== Ghana     # 26 Players

   1, Lawrence ATI-ZIGI                GK,  b. 1996/11/29
  12, Joseph ANANG                     GK,  b. 2000/06/08
  16, Benjamin ASARE                   GK,  b. 1992/07/13

   2, Alidu SEIDU                      DF,  b. 2000/06/04
   4, Jonas ADJETEY                    DF,  b. 2003/12/13
   6, Abdul MUMIN                      DF,  b. 1998/06/06
  14, Gideon MENSAH                    DF,  b. 1998/07/18
  17, Abdul Rahman BABA                DF,  b. 1994/07/02
  18, Jerome OPOKU                     DF,  b. 1998/10/14
  21, Kojo PEPRAH OPPONG               DF,  b. 2004/06/04
  23, Derrick LUCKASSEN                DF,  b. 1995/07/03
  26, Marvin SENAYA                    DF,  b. 2001/01/28

   3, Caleb YIRENKYI                   MF,  b. 2006/01/15
   5, Thomas PARTEY                    MF,  b. 1993/06/13
   8, Kwasi SIBO                       MF,  b. 1998/06/24
  11, Antoine SEMENYO                  MF,  b. 2000/01/07
  15, Elisha OWUSU                     MF,  b. 1997/11/07
  20, Augustine BOAKYE                 MF,  b. 2000/11/03

   7, Abdul FATAWU                     FW,  b. 2004/03/08
   9, Jordan AYEW                      FW,  b. 1991/09/11
  10, Brandon THOMAS-ASANTE            FW,  b. 1998/12/29
  13, Christopher BONSU BAAH           FW,  b. 2004/12/14
  19, Iñaki WILLIAMS                   FW,  b. 1994/06/15
  22, Kamaldeen SULEMANA               FW,  b. 2002/02/15
  24, Ernest NUAMAH                    FW,  b. 2003/11/01
  25, Prince Kwabena ADU               FW,  b. 2003/09/23


== Panama     # 26 Players

   1, Luis MEJÍA                       GK,  b. 1991/03/16
  12, César SAMUDIO                    GK,  b. 1994/02/23
  22, Orlando MOSQUERA                 GK,  b. 1994/12/25

   2, César BLACKMAN                   DF,  b. 1998/04/02
   3, José CÓRDOBA                     DF,  b. 2001/06/03
   4, Fidel ESCOBAR                    DF,  b. 1995/01/09
   5, Edgardo FARIÑA                   DF,  b. 2001/10/19
  13, Jiovany RAMOS                    DF,  b. 1997/01/26
  14, Carlos HARVEY                    DF,  b. 2000/02/03
  15, Eric DAVIS                       DF,  b. 1991/03/31
  16, Andrés ANDRADE                   DF,  b. 1998/10/16
  23, Michael Amir MURILLO             DF,  b. 1996/02/11
  25, Roderick MILLER                  DF,  b. 1992/04/03
  26, Jorge GUTIÉRREZ                  DF,  b. 1998/09/01

   6, Cristian MARTÍNEZ                MF,  b. 1997/02/06
   7, José Luis RODRÍGUEZ              MF,  b. 1998/06/19
   8, Adalberto CARRASQUILLA           MF,  b. 1998/11/28
  10, Ismael DÍAZ                      MF,  b. 1997/05/12
  11, Yoel BÁRCENAS                    MF,  b. 1993/10/23
  19, Alberto QUINTERO                 MF,  b. 1987/12/18
  20, Aníbal GODOY                     MF,  b. 1990/02/10
  21, César YANIS                      MF,  b. 1996/01/28

   9, Tomás RODRÍGUEZ                  FW,  b. 1999/03/09
  17, José FAJARDO                     FW,  b. 1993/08/18
  18, Cecilio WATERMAN                 FW,  b. 1991/04/13
  24, Azarias LONDOÑO                  FW,  b. 2001/06/21
